100 111302,41 14522,87 251753,00  100 graphics/merge/merge-100-100.txt
200 235725,72 5623,56 257101,00  100 graphics/merge/merge-100-200.txt
300 389108,91 19912,87 487104,00  100 graphics/merge/merge-100-300.txt
400 532913,51 20555,19 667320,00  100 graphics/merge/merge-100-400.txt
500 694810,09 76756,11 1253126,00  100 graphics/merge/merge-100-500.txt
600 870764,01 68707,01 1418363,00  100 graphics/merge/merge-100-600.txt
700 1011603,30 45642,82 1331480,00  100 graphics/merge/merge-100-700.txt
800 1158440,83 31901,87 1368540,00  100 graphics/merge/merge-100-800.txt
900 1343939,59 78298,01 1719231,00  100 graphics/merge/merge-100-900.txt
1000 1485090,46 43334,69 1784298,00  100 graphics/merge/merge-100-1000.txt
1100 1651739,44 29844,74 1762055,00  100 graphics/merge/merge-100-1100.txt
1200 1863341,21 156816,18 2844538,00  100 graphics/merge/merge-100-1200.txt
1300 1990524,59 68748,03 2481791,00  100 graphics/merge/merge-100-1300.txt
1400 2173603,65 81279,82 2607001,00  100 graphics/merge/merge-100-1400.txt
1500 2324389,05 45002,75 2517181,00  100 graphics/merge/merge-100-1500.txt
1600 2494901,27 68059,65 2965914,00  100 graphics/merge/merge-100-1600.txt
1700 2669564,55 77899,89 3188217,00  100 graphics/merge/merge-100-1700.txt
1800 2860901,69 92768,35 3355825,00  100 graphics/merge/merge-100-1800.txt
1900 2990209,20 56912,84 3207101,00  100 graphics/merge/merge-100-1900.txt
2000 3161557,28 65635,54 3496485,00  100 graphics/merge/merge-100-2000.txt
2100 3367254,62 127356,91 4273093,00  100 graphics/merge/merge-100-2100.txt
2200 3524984,00 61513,42 3767869,00  100 graphics/merge/merge-100-2200.txt
2300 3729919,58 89498,35 4060159,00  100 graphics/merge/merge-100-2300.txt
2400 3885653,61 65308,42 4188168,00  100 graphics/merge/merge-100-2400.txt
2500 4122635,50 389095,24 7734240,00  100 graphics/merge/merge-100-2500.txt
2600 4245002,67 105940,76 4767053,00  100 graphics/merge/merge-100-2600.txt
2700 4435788,27 127259,15 4925672,00  100 graphics/merge/merge-100-2700.txt
2800 4618845,27 142197,93 5392371,00  100 graphics/merge/merge-100-2800.txt
2900 4787027,05 139311,54 5574669,00  100 graphics/merge/merge-100-2900.txt
3000 4953771,62 100017,49 5369260,00  100 graphics/merge/merge-100-3000.txt
