100 56923,23 9083,48 101652,00  100 graphics/quick/quick-100-100.txt
200 118491,73 6484,37 143519,00  100 graphics/quick/quick-100-200.txt
300 196830,89 28085,88 353596,00  100 graphics/quick/quick-100-300.txt
400 274967,21 20897,01 415693,00  100 graphics/quick/quick-100-400.txt
500 366281,22 61437,29 769262,00  100 graphics/quick/quick-100-500.txt
600 438452,33 31837,67 695882,00  100 graphics/quick/quick-100-600.txt
700 522844,29 32600,07 656251,00  100 graphics/quick/quick-100-700.txt
800 614733,67 52179,13 999653,00  100 graphics/quick/quick-100-800.txt
900 705298,73 80462,39 1384198,00  100 graphics/quick/quick-100-900.txt
1000 784150,84 39355,36 882719,00  100 graphics/quick/quick-100-1000.txt
1100 871178,86 43694,72 1017467,00  100 graphics/quick/quick-100-1100.txt
1200 964942,07 51916,91 1121980,00  100 graphics/quick/quick-100-1200.txt
1300 1065009,46 79483,53 1449958,00  100 graphics/quick/quick-100-1300.txt
1400 1152110,05 62220,22 1323063,00  100 graphics/quick/quick-100-1400.txt
1500 1241544,62 58848,20 1426751,00  100 graphics/quick/quick-100-1500.txt
1600 1337963,99 74974,09 1660886,00  100 graphics/quick/quick-100-1600.txt
1700 1412504,05 66795,60 1756504,00  100 graphics/quick/quick-100-1700.txt
1800 1535625,55 74213,37 1770195,00  100 graphics/quick/quick-100-1800.txt
1900 1635545,62 97966,30 1990989,00  100 graphics/quick/quick-100-1900.txt
2000 1718767,45 82285,28 2074497,00  100 graphics/quick/quick-100-2000.txt
2100 1810365,55 98543,11 2096911,00  100 graphics/quick/quick-100-2100.txt
2200 1896581,48 90641,85 2270566,00  100 graphics/quick/quick-100-2200.txt
2300 2029683,72 95112,37 2366264,00  100 graphics/quick/quick-100-2300.txt
2400 2103514,21 136267,25 2750774,00  100 graphics/quick/quick-100-2400.txt
2500 2218760,26 102029,17 2516961,00  100 graphics/quick/quick-100-2500.txt
2600 2317918,79 119287,31 2658044,00  100 graphics/quick/quick-100-2600.txt
2700 2394314,31 99255,19 2639643,00  100 graphics/quick/quick-100-2700.txt
2800 2501234,79 140884,59 3348190,00  100 graphics/quick/quick-100-2800.txt
2900 2614228,36 130539,90 2932491,00  100 graphics/quick/quick-100-2900.txt
3000 2731126,80 147718,53 3396355,00  100 graphics/quick/quick-100-3000.txt
