100 270723,12 28786,34 495915,00  100 graphics/quick/quick-100-100.txt
200 973150,86 24823,55 1108794,00  100 graphics/quick/quick-100-200.txt
300 2147090,43 109219,04 3090870,00  100 graphics/quick/quick-100-300.txt
400 3821384,35 75967,70 4205795,00  100 graphics/quick/quick-100-400.txt
500 6053955,86 156817,35 6813278,00  100 graphics/quick/quick-100-500.txt
600 9114484,17 222433,13 10603903,00  100 graphics/quick/quick-100-600.txt
700 12232762,10 198550,52 13311892,00  100 graphics/quick/quick-100-700.txt
800 15769342,61 215667,87 16526147,00  100 graphics/quick/quick-100-800.txt
900 19824133,05 1309569,89 29008015,00  100 graphics/quick/quick-100-900.txt
1000 -nan -nan 0,00  100 graphics/quick/quick-100-1000.txt
1100 -nan -nan 0,00  100 graphics/quick/quick-100-1100.txt
1200 -nan -nan 0,00  100 graphics/quick/quick-100-1200.txt
1300 -nan -nan 0,00  100 graphics/quick/quick-100-1300.txt
1400 -nan -nan 0,00  100 graphics/quick/quick-100-1400.txt
1500 -nan -nan 0,00  100 graphics/quick/quick-100-1500.txt
1600 -nan -nan 0,00  100 graphics/quick/quick-100-1600.txt
1700 -nan -nan 0,00  100 graphics/quick/quick-100-1700.txt
1800 -nan -nan 0,00  100 graphics/quick/quick-100-1800.txt
1900 -nan -nan 0,00  100 graphics/quick/quick-100-1900.txt
2000 -nan -nan 0,00  100 graphics/quick/quick-100-2000.txt
2100 -nan -nan 0,00  100 graphics/quick/quick-100-2100.txt
2200 -nan -nan 0,00  100 graphics/quick/quick-100-2200.txt
2300 -nan -nan 0,00  100 graphics/quick/quick-100-2300.txt
2400 -nan -nan 0,00  100 graphics/quick/quick-100-2400.txt
2500 -nan -nan 0,00  100 graphics/quick/quick-100-2500.txt
2600 -nan -nan 0,00  100 graphics/quick/quick-100-2600.txt
2700 -nan -nan 0,00  100 graphics/quick/quick-100-2700.txt
2800 -nan -nan 0,00  100 graphics/quick/quick-100-2800.txt
2900 -nan -nan 0,00  100 graphics/quick/quick-100-2900.txt
3000 -nan -nan 0,00  100 graphics/quick/quick-100-3000.txt
